date,score,outlier,region,title,channel,url
2026-08-17,157,1315.5,US,치과의사 앵무새ㅋㅋ,귀여워하는건본능인듯,https://youtu.be/vVHf4-oDhXs
2026-08-17,154,384.4,NO,Why Is This Cat Eating From a Puddle?! 😳🐾,Paws & Vibes,https://youtu.be/myE2cT7mZmI
2026-08-17,147,374.0,US,2000HP+ 3rd-Gen Camaro DESTROYS the Drag Strip! 💀,Launch Kings,https://youtu.be/21PxTspMIa0
2026-08-17,139,433.8,US,I Built a Transparent Screen Into My PC Case,Chris Builds,https://youtu.be/GD0tqRdxFjk
2026-08-17,137,233.7,US,How DualSense Changes Gaming! #dualsense #gaming #ps5 #gamingshorts,Murat Toy,https://youtu.be/Q00dqzgQ6u8
2026-08-17,136,193.2,US,“The true power of CTRL + Z💀” #pcgaming #benchmark #rtx5050 #gtx1080ti,HARDWARE EN,https://youtu.be/Thh2i5SJAUw
2026-08-17,130,477.1,US,"""she just had her first ever baby"" ""it's another little boy"" 😭",KittyCuddleTV,https://youtu.be/vgy_IbegP40
2026-08-17,127,288.9,US,The iPhone That Bent in Your Pocket,Signal 404,https://youtu.be/sglSftkhmGA
2026-08-17,126,257.2,US,Billie elish perfume ❤️ #billieeilish #perfume,Vexune,https://youtu.be/JQZh11iXARk
2026-08-17,125,49.2,US,Jeffy Pushes Tim Down a Scary Water Slide 😂,Tim and Jeffy,https://youtu.be/QWnQIyZwiMc
2026-08-17,125,406.6,US,When the Predator is Already Watching You 🐆,Mind Fragments,https://youtu.be/RqqQe51RROU
2026-08-17,124,490.0,US,Love Goes Both Ways❤️#animalfriends #animalbond #zooanimals #animallovers,Buddy Zoo,https://youtu.be/USWV_tucOAQ
2026-08-17,122,413.2,US,Sharks Terrified of Orcas Underwater 💀🌊 #shorts,Ocean Pulse,https://youtu.be/Or9OJON16jE
2026-08-17,117,349.4,US,3 Satisfying Minifigure Displays #lego,mediolekirk,https://youtu.be/yKRkD-4E8cE
2026-08-17,115,1443.0,NO,مشهد يثبت أن الأم هي أعظم مقاتلة في العالم! 🥺💔 #لايك #اكسبلور,مــداراتᴹᴬᴰᴬᴿᴬᵀ,https://youtu.be/403e3u4Gkr0
2026-08-17,114,1424.4,NO,Link in my profile to get this product 💌✨,Tailored Need,https://youtu.be/O-x2TpmHii0
2026-08-17,113,139.3,US,iPhone 18 Pro Max Dark Cherry📱🫶#noads #tiktok #usa Part 102,Mr Tungtungsahur Blue,https://youtu.be/f4VdofF9GQ0
2026-08-17,108,570.5,US,BEHIND THE SCENES OF MAJOR DISASTER MOVIE 🎥🍿 #movie #behindthescenes #shorts,CultureDesk,https://youtu.be/indtUA__wZc
2026-08-17,107,815.8,NO,These Baby Wolf Cubs Are Too Cute! 🐺❤️ #wolf #greywolf #wolfpack #wolfdog #shorts,Wolf Lovers World,https://youtu.be/5VVuxWG68iY
2026-08-17,107,135.5,US,When Wildlife Takes Over Your Backyard #backyardwildlife #wildlifeencounters #funnyanimals #shorts,Farm Laugh Lab,https://youtu.be/c81AgYIKtDY
2026-08-17,106,110.4,NO,PT6 ¿CUAL 🚘 LLEGA MÁS LEJOS? 😮‍💨🔥¿Donde te gustaría que hiciéramos esta DINÁMICA? 🙌🏻,Alcantar Wheels,https://youtu.be/TkrKV76KF_U
