date,term,n_videos,n_regions,weight
2026-08-17,baby,3,12,9847
2026-08-17,cat,3,12,9622
2026-08-17,benchmark rtx5050,3,13,8803
2026-08-17,pcgaming benchmark,3,13,8803
2026-08-17,rtx5050 gtx1080ti,3,13,8803
2026-08-17,iphone,2,12,6317
2026-08-17,both,2,11,5975
2026-08-17,wildlife,2,12,5710
2026-08-17,ps5,2,13,5661
2026-08-17,gaming,2,13,5661
2026-08-17,built,2,12,5339
2026-08-17,into,3,12,5335
2026-08-17,seconds,2,12,5246
2026-08-17,gen,2,12,5224
2026-08-17,transparent,2,12,5026
2026-08-17,ever,3,12,4992
2026-08-17,fyp,3,11,4874
2026-08-17,little,2,12,4726
2026-08-17,takes,2,10,4664
2026-08-17,bike,4,7,4576
2026-08-17,facts,2,12,4541
2026-08-17,did,4,10,4213
2026-08-17,love,2,11,4095
2026-08-17,major,2,9,3765
2026-08-17,usa,3,9,3668
2026-08-17,over,2,11,3614
2026-08-17,tiktok,2,10,3601
2026-08-17,viral,3,7,3562
2026-08-17,funny,2,8,3267
2026-08-17,movie,2,9,2932
2026-08-17,product,2,9,2840
2026-08-17,profile,2,9,2840
2026-08-17,too,2,9,2695
2026-08-17,driver,2,7,2028
2026-08-17,motovlog,2,7,2020
2026-08-17,motorbikes,2,7,2020
2026-08-17,moto,2,7,2020
2026-08-17,off,2,7,2017
2026-08-17,like,3,5,1797
2026-08-17,trending,2,6,1729
