score,outlier,mins,top_region,n_regions,regions,title,channel,subs,views,category,url
157,1315.5,0.2,US,15,"AT, AU, CA, CH, DE, DK, ES, FR, GB, IT, NL, NO, PL, SE, US",치과의사 앵무새ㅋㅋ,귀여워하는건본능인듯,12900,17053646,Pets & Animals,https://youtu.be/vVHf4-oDhXs
154,384.4,0.3,NO,16,"AT, AU, CA, CH, DE, DK, ES, FR, GB, IE, IT, NL, NO, PL, SE, US",Why Is This Cat Eating From a Puddle?! 😳🐾,Paws & Vibes,80900,31201413,Pets & Animals,https://youtu.be/myE2cT7mZmI
147,374.0,0.2,US,16,"AT, AU, CA, CH, DE, DK, ES, FR, GB, IE, IT, NL, NO, PL, SE, US",2000HP+ 3rd-Gen Camaro DESTROYS the Drag Strip! 💀,Launch Kings,23300,8754977,Howto & Style,https://youtu.be/21PxTspMIa0
139,433.8,0.7,US,14,"AT, AU, CA, CH, DE, DK, GB, IE, IT, NL, NO, PL, SE, US",I Built a Transparent Screen Into My PC Case,Chris Builds,72000,31236580,Science & Tech,https://youtu.be/GD0tqRdxFjk
137,233.7,0.2,US,16,"AT, AU, CA, CH, DE, DK, ES, FR, GB, IE, IT, NL, NO, PL, SE, US",How DualSense Changes Gaming! #dualsense #gaming #ps5 #gamingshorts,Murat Toy,17500,4115583,Science & Tech,https://youtu.be/Q00dqzgQ6u8
136,193.2,0.2,US,16,"AT, AU, CA, CH, DE, DK, ES, FR, GB, IE, IT, NL, NO, PL, SE, US",“The true power of CTRL + Z💀” #pcgaming #benchmark #rtx5050 #gtx1080ti,HARDWARE EN,55500,10706477,Science & Tech,https://youtu.be/Thh2i5SJAUw
130,477.1,0.4,US,12,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE, US","""she just had her first ever baby"" ""it's another little boy"" 😭",KittyCuddleTV,17900,8556821,Howto & Style,https://youtu.be/vgy_IbegP40
127,288.9,0.2,US,15,"AT, AU, CA, CH, DE, DK, FR, GB, IE, IT, NL, NO, PL, SE, US",The iPhone That Bent in Your Pocket,Signal 404,13800,3988202,Science & Tech,https://youtu.be/sglSftkhmGA
126,257.2,0.2,US,12,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE, US",Billie elish perfume ❤️ #billieeilish #perfume,Vexune,26700,6911103,Howto & Style,https://youtu.be/JQZh11iXARk
125,49.2,0.2,US,16,"AT, AU, CA, CH, DE, DK, ES, FR, GB, IE, IT, NL, NO, PL, SE, US",Jeffy Pushes Tim Down a Scary Water Slide 😂,Tim and Jeffy,645000,31801756,Pets & Animals,https://youtu.be/QWnQIyZwiMc
125,406.6,0.2,US,12,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE, US",When the Predator is Already Watching You 🐆,Mind Fragments,11400,4614998,Pets & Animals,https://youtu.be/RqqQe51RROU
124,490.0,1.0,US,11,"AT, AU, CA, CH, DK, GB, IE, NL, NO, SE, US",Love Goes Both Ways❤️#animalfriends #animalbond #zooanimals #animallovers,Buddy Zoo,17100,8383138,Pets & Animals,https://youtu.be/USWV_tucOAQ
122,413.2,0.2,US,12,"AT, AU, CA, CH, DE, DK, GB, IE, NL, NO, SE, US",Sharks Terrified of Orcas Underwater 💀🌊 #shorts,Ocean Pulse,13500,5602945,Pets & Animals,https://youtu.be/Or9OJON16jE
117,349.4,0.4,US,10,"AU, CA, CH, DK, GB, IE, NL, NO, SE, US",3 Satisfying Minifigure Displays #lego,mediolekirk,12400,4371206,Howto & Style,https://youtu.be/yKRkD-4E8cE
115,1443.0,0.2,NO,9,"AT, AU, CA, CH, DK, IE, NL, NO, PL",مشهد يثبت أن الأم هي أعظم مقاتلة في العالم! 🥺💔 #لايك #اكسبلور,مــداراتᴹᴬᴰᴬᴿᴬᵀ,16400,23688582,Pets & Animals,https://youtu.be/403e3u4Gkr0
114,1424.4,0.3,NO,8,"AT, AU, CH, DK, IE, NL, NO, SE",Link in my profile to get this product 💌✨,Tailored Need,30600,43603689,Howto & Style,https://youtu.be/O-x2TpmHii0
113,139.3,0.2,US,11,"AT, CH, DE, DK, ES, FR, IT, NL, PL, SE, US",iPhone 18 Pro Max Dark Cherry📱🫶#noads #tiktok #usa Part 102,Mr Tungtungsahur Blue,99600,13861789,Science & Tech,https://youtu.be/f4VdofF9GQ0
108,570.5,0.2,US,14,"AT, AU, CA, CH, DE, ES, FR, GB, IE, IT, NL, PL, SE, US",BEHIND THE SCENES OF MAJOR DISASTER MOVIE 🎥🍿 #movie #behindthescenes #shorts,CultureDesk,55500,31670814,Entertainment,https://youtu.be/indtUA__wZc
107,815.8,0.4,NO,8,"AT, CA, CH, DK, IE, NL, NO, SE",These Baby Wolf Cubs Are Too Cute! 🐺❤️ #wolf #greywolf #wolfpack #wolfdog #shorts,Wolf Lovers World,49000,39972876,Pets & Animals,https://youtu.be/5VVuxWG68iY
107,135.5,1.7,US,10,"AU, CA, DE, DK, GB, IE, NL, NO, SE, US",When Wildlife Takes Over Your Backyard #backyardwildlife #wildlifeencounters #funnyanimals #shorts,Farm Laugh Lab,38900,5297514,Howto & Style,https://youtu.be/c81AgYIKtDY
